File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated
34411_181115.1154.fits,58437.28799247554,-1,,,,0.0,0.0,0.2485246006417093,0.1726468579501041,2.209392299300592,,,,,,,2022-01-25T15:53:40.396
34411_181115.1155.fits,58437.29060858008,-1,,,,0.0,0.0,0.2485246006417093,0.175683102043223,2.191295131450411,,,,,,,2022-01-25T15:53:45.254
34411_181115.1156.fits,58437.29316789036,-1,,,,0.0,0.0,0.2485246006417093,0.1744813119835623,2.200131494253343,,,,,,,2022-01-25T15:53:49.395
34411_181118.1232.fits,58440.2822447526,-1,,,,0.0,0.0,0.2505613294835924,0.1726718081762316,2.19376947528386,,,,,,,2022-01-25T15:53:53.411
34411_181118.1233.fits,58440.28406236122,-1,,,,0.0,0.0,0.2505613294835924,0.175122733396034,2.202284001429715,,,,,,,2022-01-25T15:53:57.643
34411_181118.1234.fits,58440.28589665981,-1,,,,0.0,0.0,0.2505613294835924,0.1739968641658561,2.204766779066031,,,,,,,2022-01-25T15:54:01.837
34411_181220.1138.fits,58472.15528584867,-1,,,,0.0,0.0,,0.1750749506810905,2.202794717631108,,,,,,,2022-01-25T15:54:06.024
34411_181220.1139.fits,58472.15794371493,-1,,,,0.0,0.0,,0.1732028150610358,2.202846274650429,,,,,,,2022-01-25T15:54:10.195
34411_181220.1140.fits,58472.16035086555,-1,,,,0.0,0.0,,0.175759933049684,2.197734195368013,,,,,,,2022-01-25T15:54:14.322
34411_191008.1168.fits,58764.47709475781,5,215.92128195247452,3.8009543418884277,0.3559875786304474,66487.34733,0.29708,0.1440209601554533,0.1756863945140286,2.270772078782264,7375.673795891051,19.67913091032129,-56.98814463324379,-53.10925448518537,2.769163881472195,-0.8079626478256312,2022-01-06T16:58:07.636
34411_191008.1169.fits,58764.47906362455,5,223.0134525090359,2.4436914920806885,0.3672298789024353,66485.86656000001,0.28821,0.1440209601554533,0.1719641165736352,2.28334215105156,7376.01174568954,19.65353480645567,-59.31090264221712,-54.50127249487559,2.806316449903534,-0.8152087916947773,2022-01-06T16:58:13.180
34411_191008.1170.fits,58764.48099477408,5,224.0022321317357,4.4150896072387695,0.33159953355789185,66488.23766,0.28785,0.1440209601554533,0.1753193604528473,2.275130729936437,7374.197648291735,19.72696170244265,-58.67795559311344,-53.53913326439215,2.795592474431032,0.000369575915162635,2022-01-06T16:58:19.185
34411_191015.1178.fits,58771.41785871668,5,227.02422778197044,-0.7182519435882568,0.3783285915851593,66484.06259,0.28039000000000003,0.1466616306248386,0.1741799969933054,2.259421507655135,7374.08646815694,19.64335728884445,-59.61956243787427,-55.40234664609306,2.860738725343253,-0.8155081157907215,2022-01-06T16:58:24.815
34411_191015.1179.fits,58771.41962321944,5,212.9295658193103,-0.9598302841186523,0.36454325914382935,66483.11091,0.30059,0.1466616306248386,0.1751097786739113,2.271396292907783,7374.322358807931,19.62140317335969,-57.80872906369041,-55.20567257246876,2.842348574282369,-0.8146944723725984,2022-01-06T16:58:30.629
34411_191015.1180.fits,58771.42127622253,5,218.92007674034832,-1.390265703201294,0.34647148847579956,66483.27184,0.29133,0.1466616306248386,0.1754131337798439,2.266984345442863,7373.426612703193,19.66424444200201,-57.2832541410171,-54.08441743024741,2.853524374368135,-0.8127659945483318,2022-01-06T16:58:36.383
34411_191016.1141.fits,58772.47489208746,5,217.7705214210592,2.532336950302124,0.34965991973876953,66486.86806,0.29634,0.1485877563824668,0.1728563094290772,2.273188123476154,7371.992706674776,19.60892947862055,-59.9300147441536,-54.83315516245784,2.832288277670159,-0.00013977659690425,2022-01-06T16:58:42.056
34411_191016.1142.fits,58772.47754459927,5,214.16815823086307,0.6872978806495667,0.32090649008750916,66485.34489000001,0.29963999999999996,0.1485877563824668,0.1785993271201837,2.272837732882961,7371.434263247378,19.64550843825112,-58.75011599322897,-54.42408880923176,2.806830902045476,-0.8139864793634187,2022-01-06T16:58:48.705
34411_191016.1143.fits,58772.48015896703,5,221.04298224553523,1.823959469795227,0.32507798075675964,66486.23206000001,0.29109,0.1485877563824668,0.1765188142150413,2.272494096594201,7370.581082448803,19.63096935396411,-59.78323267040832,-55.12061352538876,2.830197188406601,-0.8163453268120456,2022-01-06T16:58:54.670
34411_191017.1079.fits,58773.45722158503,5,213.75219297120674,2.0219926834106445,0.34195807576179504,66486.27445,0.30015000000000003,0.1439711334826857,0.1730158325669743,2.281992489243295,7374.42237952593,19.61268049030212,-58.20862699339341,-54.03856905837893,2.835778348715394,0.000952159064859948,2022-01-06T16:59:00.616
34411_191017.1080.fits,58773.46348370398,5,176.40578221815747,1.687818169593811,0.40420612692832947,66485.50412,0.36888,0.1439711334826857,0.1775162843514433,2.27497862371154,7374.030851218666,19.64627924351277,-56.15370359667577,-52.6780136035959,2.821279736293945,-0.00104122215105168,2022-01-06T16:59:06.331
34411_191017.1084.fits,58773.47193323952,5,219.48804067647967,2.2662699222564697,0.3449508547782898,66486.3477,0.29492,0.1439711334826857,0.1743011996473444,2.272329948897788,7370.698747222147,19.61295339629732,-56.95474038335669,-53.88637820894655,2.787690144061344,-0.8107750723426526,2022-01-06T16:59:12.036
34411_191022.1073.fits,58778.42541077446,5,172.22949805419512,1.7418204545974731,0.4061582088470459,66485.67910000001,0.37972,0.1507043935157288,0.1745377848560991,2.278869370346938,7375.450029167466,19.67490378634515,-55.23524104202806,-51.89200250557042,2.783935352359549,-0.00062869140751797,2022-01-06T16:59:18.147
34411_191022.1077.fits,58778.43391575737,5,216.12959075517634,-0.17167195677757263,0.33094552159309387,66484.2093,0.29984,0.1507043935157288,0.1725718231436718,2.271127674325046,7375.9579657375,19.638787987899,-57.22868432123505,-52.87575662479503,2.81431345443707,0.000295362948649266,2022-01-06T16:59:24.093
34411_191022.1078.fits,58778.44017505911,5,239.18611999863202,0.6673442721366882,0.325267493724823,66484.97746000001,0.26996,0.1507043935157288,0.1706740046507148,2.271328122456542,7376.193379236308,19.58165557245982,-57.29490813500888,-52.81427033036016,2.808563199781929,-0.00700800155332065,2022-01-06T16:59:29.650
34411_191024.1310.fits,58780.3928818931,5,163.30952207388276,1.4513109922409058,0.43663185834884644,66485.92149000001,0.40188,0.1489064804838943,0.1753285114651628,2.278893036432411,7381.808503470732,19.69210815786648,-56.92799613862007,-53.98222134984098,2.825603420234984,-0.8125262834013235,2022-01-06T16:59:35.442
34411_191024.1311.fits,58780.39743412015,5,214.90928318711596,1.14107084274292,0.3319855332374573,66485.69136,0.3014,0.1489064804838943,0.1727161606607236,2.271877867982803,7376.994289902728,19.65859587366308,-58.66354694032634,-53.98289889203443,2.843721846104017,-0.8134413396930799,2022-01-06T16:59:41.032
34411_191024.1312.fits,58780.40239387929,5,224.37691503361035,0.6278566122055054,0.3253770172595978,66485.37471,0.2877,0.1489064804838943,0.1723142422321215,2.269560793139621,7378.002219877425,19.5769280055563,-58.89350049350469,-54.64356768806465,2.826535892585525,-4.8304490205354e-05,2022-01-06T16:59:47.036
34411_191025.1081.fits,58781.44902169389,5,218.68470454057822,2.177983283996582,0.3408433496952057,66486.70744,0.29825,0.1507136623252642,0.1733922036404985,2.268479870031415,7374.952581367897,19.61899604714938,-57.74448471402866,-54.22920982501819,2.823081514870864,-0.00248123279205449,2022-01-06T16:59:53.182
34411_191025.1082.fits,58781.45260972335,5,223.79454863780754,3.329273223876953,0.34140172600746155,66487.94022,0.29109,0.1507136623252642,0.1746759422333914,2.267634155826657,7375.016718724205,19.61008627893721,-57.9783186523855,-54.47273189868429,2.806334783133934,-0.8141032605967988,2022-01-06T16:59:59.174
34411_191025.1083.fits,58781.45556386253,5,187.66193007640095,2.14905047416687,0.3791896402835846,66485.96286999999,0.34938,0.1507136623252642,0.1795213098618413,2.271702707694188,7377.096447559952,19.59826915269106,-54.30657901526138,-52.44579775730381,2.751590208266862,0.001089570677560781,2022-01-06T17:00:04.916
34411_191029.1330.fits,58785.43437658934,5,221.752113856892,0.36891046166419983,0.3354308307170868,66484.52798,0.29278,0.1483667363431124,0.1687769794488656,2.272648103935561,7373.57924619002,19.59390929361889,-56.74381289692246,-53.42619692317385,2.756223058866453,-0.8103109920788232,2022-01-06T17:00:10.524
34411_191029.1331.fits,58785.4366626948,5,215.40194985189896,3.7070260047912598,0.3675307035446167,66487.87523,0.30321000000000004,0.1483667363431124,0.1755370832808713,2.278006405044984,7373.148665832388,19.57146796940302,-56.87253752608376,-53.05603285400139,2.74331495485967,0.000656458137386104,2022-01-06T17:00:16.367
34411_191029.1332.fits,58785.43881751903,5,219.59735881836102,0.4405130445957184,0.31954294443130493,66484.57635,0.29614,0.1483667363431124,0.1761309566638733,2.282985878399358,7373.991897972222,19.6267917133859,-58.92624431573495,-55.26037741264736,2.774062963639153,-0.8134660787495226,2022-01-06T17:00:22.488
34411_191029.1333.fits,58785.44089406627,5,215.94675269612182,1.9827029705047607,0.3553462028503418,66486.32217,0.30224,0.1483667363431124,0.1740107917350143,2.266739937678114,7373.707652313167,19.57944691936033,-58.71610503672855,-54.07629187639395,2.790468923893059,-0.8123578443731693,2022-01-06T17:00:28.370
34411_191029.1334.fits,58785.44304994336,5,220.22261464254754,1.8145593404769897,0.37064141035079956,66486.48533,0.2966,0.1483667363431124,0.1748040400440844,2.276905038558718,7373.863788674837,19.53638285321846,-58.88501270666893,-55.15735970252717,2.763284361441038,-0.813934150346429,2022-01-06T17:00:34.014
34411_191101.1133.fits,58788.47010993917,5,207.0869382650678,0.048675063997507095,0.33127743005752563,66482.97677000001,0.30677,0.1458593023606631,0.1766505776050341,2.276475644161854,7372.878310856162,19.59701412057487,-59.41371096610965,-55.81153814842401,2.826082672414486,0.000241525524734431,2022-01-06T17:00:39.822
34411_191101.1134.fits,58788.47124206913,5,189.46239732464065,1.1945927143096924,0.3788083493709564,66484.75694,0.33973,0.1458593023606631,0.1729093610530787,2.274165731396326,7373.841634855755,19.66429730361737,-60.71966332479496,-55.74835267322487,2.858267784846248,-0.00706378913706576,2022-01-06T17:00:45.763
34411_191101.1135.fits,58788.47224909624,5,190.3890753168364,0.48797422647476196,0.34032878279685974,66483.39002,0.33805,0.1458593023606631,0.1737159131319756,2.273382736581679,7372.698672040431,19.69957879340254,-57.7567113526311,-53.97896165571001,2.81376529156114,0.000910256743078452,2022-01-06T17:00:52.430
34411_191101.1136.fits,58788.47323280387,5,192.48636315334133,-0.18965134024620056,0.359272837638855,66483.73046,0.33264000000000005,0.1458593023606631,0.1764207694519922,2.273067200380039,7373.487173713356,19.56404392444819,-58.14589074903051,-53.957747301567,2.80917264483287,-0.00046197106696795,2022-01-06T17:00:58.139
34411_191107.1114.fits,58794.4251840361,5,220.90043005843154,0.5212470293045044,0.3558577299118042,66484.84578,0.29645,0.146959698394979,0.1750145436859935,2.265525351738491,7369.915903256942,19.45852455090969,-55.94428839060129,-52.80552351198276,2.763884472500649,-0.80728049003873,2022-01-06T17:01:03.942
34411_191107.1115.fits,58794.42672714678,5,234.0598214132447,1.7143051624298096,0.34778228402137756,66485.89122,0.27872,0.146959698394979,0.1732003006933734,2.272729228898451,7368.637870032228,19.37732675400403,-56.14403120825591,-53.23875023101573,2.716324799068389,-0.8041066546762189,2022-01-06T17:01:09.702
34411_191107.1116.fits,58794.42830481986,5,204.79257799051214,2.79618501663208,0.3734024167060852,66487.14672,0.32021,0.146959698394979,0.1732367057224649,2.258542908183005,7368.456186849243,19.49533104485606,-58.11895778632606,-53.62340131573728,2.805815534724388,0.000123223706571082,2022-01-06T17:01:15.287
34411_191107.1117.fits,58794.42961978863,5,225.0688783461632,1.0783717632293701,0.3615030348300934,66485.34798,0.29042999999999997,0.146959698394979,0.1710194417281429,2.266525050124469,7370.807935708093,19.44355699001807,-58.50987890161923,-53.61733900268155,2.775659880368039,-0.8116172056999691,2022-01-06T17:01:22.056
34411_191108.1119.fits,58795.42138576708,5,217.375251581223,-0.5277569890022278,0.33544620871543884,66484.12751,0.30914,0.1372164085504794,0.1736163327711239,2.273910151653374,7370.789096813793,19.5748669374937,-56.79659838635416,-52.97771592950448,2.773445917118806,-0.8105561009338097,2022-01-06T17:01:27.994
34411_191108.1120.fits,58795.42353786468,5,217.7154105707724,0.26260727643966675,0.34832116961479187,66484.08823,0.30902,0.1372164085504794,0.1748313669014567,2.267931190344491,7368.803591773661,19.55687637448132,-55.76746162923519,-52.45734650007216,2.718284922098974,-0.8033643589566977,2022-01-06T17:01:33.881
34411_191108.1121.fits,58795.42584075315,5,217.18655575334307,0.25379863381385803,0.377571702003479,66484.50293,0.30835999999999997,0.1372164085504794,0.1732355994789666,2.282813249765276,7371.003984734424,19.53390186516813,-56.87685662107833,-53.9008435447904,2.783426206908189,-0.8116287191592549,2022-01-06T17:01:39.668
34411_191108.1122.fits,58795.42837824875,5,216.43705782513308,-0.7020593881607056,0.3421168327331543,66483.05990000001,0.30863,0.1372164085504794,0.173475115215747,2.266745947999568,7373.194169103125,19.63812804720786,-56.08798733714502,-52.49334414085024,2.752477317029843,-0.8075825360007777,2022-01-06T17:01:45.230
34411_191109.1190.fits,58796.36255860324,5,211.3882683594338,0.6642900705337524,0.3495871424674988,66484.75731,0.30205,0.1474678731351242,0.1741831684688603,2.280879119487101,7377.772825461549,19.58222317226741,-59.59446304646553,-54.67280181247042,2.901121191011043,-0.8197850181311559,2022-01-06T17:01:52.883
34411_191109.1191.fits,58796.36460318341,5,212.2404297017889,-1.0271023511886597,0.3418535888195038,66482.92809,0.30299,0.1474678731351242,0.1724708527581517,2.266032788567311,7379.272838235212,19.54116258501887,-60.19906614765932,-55.65457694642828,2.87607599637704,-0.817678797798017,2022-01-06T17:01:58.585
34411_191109.1192.fits,58796.36616701878,5,210.80322578177024,1.8580269813537598,0.3239513039588928,66485.66301,0.30546,0.1474678731351242,0.1724653855765139,2.266340364894407,7377.282781434084,19.63672163449387,-59.58401543230866,-55.11254979470687,2.851482916026725,-0.00293886508804638,2022-01-06T17:02:04.173
34411_191109.1193.fits,58796.3676309592,5,211.63648078722156,0.012039102613925934,0.35305532813072205,66484.05834,0.30476,0.1474678731351242,0.1733805830534203,2.26780331929167,7377.449857658184,19.58977557133647,-59.58175095889601,-55.30319671762118,2.867816053185379,0.001218997336258672,2022-01-06T17:02:09.879
34411_191110.1116.fits,58797.40472562241,5,213.09856874226068,1.2793142795562744,0.3677418828010559,66485.19492,0.30441,0.1437568820723782,0.176165600177905,2.277900089483774,7373.548386291033,19.45529456417121,-57.98144808536745,-54.37935248287977,2.808214134536684,-0.8121813297197781,2022-01-06T17:02:15.543
34411_191110.1117.fits,58797.40568753784,5,211.9858485842864,0.8518111705780029,0.3790457248687744,66485.25133,0.30716,0.1437568820723782,0.1721858853167264,2.26772126593187,7374.368184144811,19.52815213387014,-55.10108300915454,-52.80405851050455,2.779512370849261,-0.00062742958664322,2022-01-06T17:02:22.269
34411_191110.1118.fits,58797.4066490239,5,214.50174824462388,1.0684847831726074,0.3556762933731079,66485.31818,0.30381,0.1437568820723782,0.1715340240293003,2.269614562547225,7374.876038651635,19.43547959048662,-57.95480122278968,-54.90225537089282,2.821722960128682,-0.8138178697354254,2022-01-06T17:02:27.860
34411_191110.1119.fits,58797.40758336418,5,214.23585134145966,-0.010952894575893879,0.36099424958229065,66484.57442,0.30421,0.1437568820723782,0.1721599931585859,2.268626837533658,7375.78189874164,19.4711618390565,-57.24044024103205,-53.2063544307166,2.768370186997345,-0.8081556891889882,2022-01-06T17:02:33.562
34411_191115.1170.fits,58802.4860414171,5,207.52590199779883,2.1980626583099365,0.39399227499961853,66485.88035,0.31303000000000003,0.1407689161353282,0.1730844805286576,2.267999684992357,7378.151839931606,19.65322234269495,-59.93858565358096,-55.14461952645797,2.953617285660584,0.000550161792809456,2022-01-06T17:02:39.097
34411_191115.1171.fits,58802.48903259716,5,206.64946164943183,2.5545151233673096,0.3736962676048279,66485.54433,0.31378,0.1407689161353282,0.1722586818564538,2.274924770373513,7377.186710315154,19.6402011151873,-60.5242815806705,-56.21461803160491,2.976470362991677,-0.8225259039154387,2022-01-06T17:02:44.987
34411_191115.1172.fits,58802.49256452027,5,206.6131651178114,0.7649081945419312,0.3873763084411621,66485.38175,0.3151,0.1407689161353282,0.1752098035944541,2.265383666072739,7381.587313784442,19.63480572210205,-52.24270626508223,-51.2143805265805,2.807286474504508,-0.802605025374997,2022-01-06T17:02:51.030
34411_191115.1173.fits,58802.49763769592,5,207.02173798903343,0.6854320168495178,0.3851460814476013,66485.09779,0.31488,0.1407689161353282,0.1738208970676313,2.270126001387945,7375.974848817722,19.65013498423442,-58.12992785681854,-54.69864572786901,2.898474366229493,-0.8143353362903022,2022-01-06T17:02:56.751
34411_191210.1072.fits,58827.3724644449,5,221.73632990558855,-0.5782291889190674,0.32910481095314026,66484.50214,0.29374,0.1460774271527981,0.1725601558273657,2.281363749409489,7373.112958598459,19.6282705284391,-55.98311500207637,-52.75818130133848,2.884844482367043,-0.8055424735610206,2022-01-06T17:03:02.347
34411_191210.1073.fits,58827.37582057037,5,221.92791622506618,-0.3014688491821289,0.31994301080703735,66484.54177,0.29466000000000003,0.1460774271527981,0.1706261885530713,2.271313493091184,7371.734014886524,19.67310787383771,-59.54196223197505,-55.63889116735663,2.945472978011821,-0.8151418231548899,2022-01-06T17:03:08.157
34411_191210.1074.fits,58827.37923662066,5,221.27358631341428,0.07025613635778427,0.3256078064441681,66484.3855,0.29485,0.1460774271527981,0.1746769353162245,2.268871308911402,7373.878222925208,19.63565512897793,-56.41080747359956,-53.2240016113501,2.901141507943976,-0.8079354574925396,2022-01-06T17:03:13.531
34411_191210.1075.fits,58827.38285353596,5,221.35265979879256,-1.1743431091308594,0.3356356620788574,66483.81318,0.29469999999999996,0.1460774271527981,0.1733158205231886,2.264758576179305,7374.433852093875,19.6607189362191,-57.976681236687,-54.56479052947543,2.913204331955058,-0.81090634555536,2022-01-06T17:03:19.512
34411_191211.1066.fits,58828.3163681076,5,210.78899402008636,2.402953624725342,0.3310616910457611,66486.69215,0.3048,0.1450954231647115,0.173951900410577,2.276703104852503,7374.797517981914,19.64774955706088,-57.81719654254266,-52.41426267544739,2.921140196383931,0.000638227305429609,2022-01-06T17:03:25.204
34411_191211.1067.fits,58828.31872099886,5,208.89949736655663,1.2930303812026978,0.34268075227737427,66486.25814,0.3078,0.1450954231647115,0.1713428974694429,2.268123481998526,7374.175188586499,19.62380204057983,-57.43605391107849,-52.91234366361459,2.928404728460009,-0.809933622410022,2022-01-06T17:03:31.000
34411_191211.1068.fits,58828.32082878346,5,209.3155512617254,0.7521172165870667,0.3494341969490051,66485.31506,0.30733,0.1450954231647115,0.1743651880687294,2.282509041568544,7375.251513507635,19.60640955805199,-57.95812503347406,-53.61589073810319,2.940620610170299,-0.8114104194982796,2022-01-06T17:03:36.423
34411_191212.1073.fits,58829.33115332065,5,217.4833326947148,-1.4504674673080444,0.33085504174232483,66483.18474,0.30017,0.1538630963521941,0.1729553113595235,2.270454181652384,7371.739864861997,19.75978652735276,-56.07074668508722,-52.9594276069547,2.952569904198754,-0.00024818955592603,2022-01-06T17:03:41.894
34411_191212.1074.fits,58829.33356885557,5,216.5548429382266,-0.7704014182090759,0.3600722849369049,66483.8131,0.30105,0.1538630963521941,0.1713427432881676,2.287741001669155,7373.088544650537,19.78318127875466,-56.97717739299696,-52.63659667053435,2.934617795894155,0.001509285620081029,2022-01-06T17:03:47.707
34411_191212.1075.fits,58829.33576512391,5,216.77638247742766,0.4382527470588684,0.35574784874916077,66484.58872,0.3013,0.1538630963521941,0.1734971674288098,2.267830523268318,7372.813253678719,19.80459520537596,-59.56931685260497,-54.24900742327736,2.992669870320242,-0.8150963622888667,2022-01-06T17:03:53.563
34411_191212.1076.fits,58829.33764929069,5,216.08100332976983,-1.8194000720977783,0.34201860427856445,66483.33529,0.30296,0.1538630963521941,0.1739164837776216,2.267554054890721,7373.429514674879,19.77210218879622,-56.69666808091279,-52.42608897107129,2.934977674667607,0.000268780671474734,2022-01-06T17:03:59.115
34411_191216.1078.fits,58833.35715437726,5,220.01136334289646,-0.2675493657588959,0.330513596534729,66483.68892,0.29449000000000003,0.1486799516590047,0.1750532769116272,2.268145520306477,7378.198451452486,19.8685145202734,-58.18579005358333,-54.40282343552099,2.996868052214268,-0.8118063994046857,2022-01-06T17:04:04.923
34411_191216.1079.fits,58833.36198630415,5,219.65427380317462,-2.1083996295928955,0.34222930669784546,66482.81185,0.2942,0.1486799516590047,0.1728482452886239,2.28330061528441,7377.536191366148,19.86552265203268,-56.93854028570058,-53.27026615316572,3.004966747772414,-0.8108145317790274,2022-01-06T17:04:10.692
34411_191216.1080.fits,58833.36694162826,5,220.24077733244587,-1.0699323415756226,0.3432264029979706,66483.14365,0.29397,0.1486799516590047,0.1739159632898413,2.286502059426085,7376.909660766508,19.8671475897066,-59.44129654405697,-53.92370503688289,3.00350795617851,-0.8141912599357443,2022-01-06T17:04:16.256
34411_191216.1081.fits,58833.37163094339,5,219.84767453853135,-1.1945655345916748,0.33122414350509644,66483.00196000001,0.29433,0.1486799516590047,0.1731099512223033,2.265470539888606,7376.03020466601,19.90520520066762,-58.09657774149673,-54.62320725625614,2.991503873665351,0.00119962724603294,2022-01-06T17:04:22.338
34411_200102.1124.fits,58850.29306724108,5,211.73804570742595,-1.4989495277404785,0.38059762120246887,66483.01835,0.30954,0.1520481037159172,0.1716148416592727,2.28528375799183,7381.778485780867,20.04186473790294,-58.55778622294019,-56.16755882163125,3.184886559916777,0.002185295302244324,2022-01-06T17:04:28.349
34411_200102.1125.fits,58850.2960505081,5,211.47576693323518,-2.052488327026367,0.35405728220939636,66481.71794,0.30927,0.1520481037159172,0.1749542849004267,2.278225731864842,7379.08487823398,20.03092250799103,-56.53842835266551,-53.67466262810922,3.143055789987557,-0.8116979607373449,2022-01-06T17:04:34.365
34411_200102.1126.fits,58850.29940324072,5,212.14146223687627,-1.6666524410247803,0.3860190808773041,66481.82207000001,0.30879,0.1520481037159172,0.1704371181989385,2.273733038314857,7381.633547632267,20.01872024913834,-56.87491649272852,-54.27082260634052,3.158617421067902,-0.8141173172147422,2022-01-06T17:04:40.062
34411_200102.1127.fits,58850.30322168193,5,211.86552338688804,-0.57606041431427,0.3621259927749634,66484.30702,0.30907,0.1520481037159172,0.1734732379954209,2.270341675891646,7381.061237438797,20.00500975282048,-57.53269358274702,-54.83821292612993,3.18675851066655,0.0020332082806753,2022-01-06T17:04:46.152
34411_200104.1112.fits,58852.19446208868,5,209.65924735150605,0.23150396347045898,0.3584558069705963,66484.43465,0.30472,0.146494283285555,0.1718259675105938,2.267880484018688,7386.089940835598,20.10486044776752,-57.91119839248131,-53.8378257505974,3.122311615108629,-0.8105297750683285,2022-01-06T17:04:51.787
34411_200104.1113.fits,58852.19575398447,5,208.34106652314134,-2.1868650913238525,0.3659305274486542,66482.57779,0.30671,0.146494283285555,0.1716206830921489,2.283839918891676,7388.516768074238,20.07535252087293,-58.06716066919034,-53.64801498000452,3.12277902601636,-0.00030716758598971,2022-01-06T17:04:57.175
34411_200104.1114.fits,58852.19706373401,5,208.87795479657493,-1.2966268062591553,0.38413262367248535,66482.62587,0.30616,0.146494283285555,0.1729945901060851,2.2701475216611,7385.56817434104,20.11465481136089,-58.03831419594644,-53.9357262954436,3.107175589873805,0.001956787351967069,2022-01-06T17:05:02.697
34411_200104.1115.fits,58852.19851076551,5,209.21281031523858,-0.05085383728146553,0.3543652892112732,66485.40954,0.30627,0.146494283285555,0.1741988587255348,2.271175854101068,7386.626621171841,20.11287475398673,-59.50000766688026,-54.83748214592924,3.161493767576758,-0.81730684201303,2022-01-06T17:05:08.307
34411_200105.1068.fits,58853.31912010052,5,212.03773249117714,1.0494860410690308,0.36983293294906616,66486.3839,0.30932,0.1526528911075594,0.1731873245038887,2.266635998144121,7380.824605932144,20.10370209916103,-58.6721001725964,-53.84728470798291,3.195978867617669,0.000400087960481048,2022-01-06T17:05:13.721
34411_200105.1069.fits,58853.32055921432,5,211.14450028357356,-1.3561609983444214,0.3440791368484497,66483.47977,0.30989,0.1526528911075594,0.1763212936613922,2.272053816529986,7382.314483896535,20.04939895666592,-58.5620797178417,-54.36591006255185,3.177224182145437,-0.8147020680321218,2022-01-06T17:05:19.458
34411_200105.1070.fits,58853.32208784257,5,210.72731194603134,-2.443347692489624,0.3510439395904541,66481.93198,0.31079,0.1526528911075594,0.1724611480938004,2.268008639742242,7379.035304097174,20.03475819221484,-55.57542692475545,-52.46799582100357,3.115651062034885,-0.8082051279842103,2022-01-06T17:05:25.106
34411_200105.1071.fits,58853.32353229169,5,210.4305110957059,-0.2254611998796463,0.35803937911987305,66485.22514000001,0.31101,0.1526528911075594,0.1731881430142788,2.283006541797599,7381.292236017431,20.08923231739042,-56.86029214407608,-52.91406102884503,3.168363884920836,0.000947130647743324,2022-01-06T17:05:30.537
34411_200111.1071.fits,58859.32095448056,-1,,,,66482.9266,0.26317,0.1425346139559321,0.1724754728040448,2.268245516693133,7375.449529398813,20.17248890587602,-55.77071180376515,-52.96735371110844,3.240561308557517,-0.8094233828756592,2022-01-06T17:05:35.812
34411_200111.1072.fits,58859.32313453867,5,219.8158320048854,-0.49967068433761597,0.35134196281433105,66484.54023,0.3046,0.1425346139559321,0.1746265232016674,2.283790530545132,7376.985064312508,20.13084150551898,-54.55131129006622,-51.77545331146393,3.1943553260935,-0.8034730773559292,2022-01-06T17:05:41.347
34411_200111.1073.fits,58859.32522872954,5,220.25212825305456,-0.7875038981437683,0.3492092192173004,66484.52175,0.30388000000000004,0.1425346139559321,0.1731103841647527,2.281300512068197,7376.37142457676,20.10557762510594,-56.44236243740306,-53.69808532678871,3.246276984806173,-0.8111438392186965,2022-01-06T17:05:47.284
34411_200111.1074.fits,58859.32736066372,5,219.31028247667732,-1.1703989505767822,0.35808107256889343,66483.80938,0.30529,0.1425346139559321,0.1747769586278907,2.271835814832448,7377.115284551015,20.20161784627332,-53.15419572147948,-51.66263460130722,3.208088902931195,-0.00108885392859324,2022-01-06T17:05:52.846
